Nennungen der Features in J48:,,,,,
,,,,,
n,attr,ø values,normalized occurences,,
102.0,22.0,0.784314,3syl,models-numeric.txt,3syl/models-numeric.txt:(syl_len0 <= 2) and (koda_len2 <= 0) and (onset_len0 >= 1) and (onset_len2 >= 1) and (comp_len <= 1) => stress_class=paenultima (102.0/22.0)
102.0,20.0,0.803922,4syl,models-all.txt,4syl/models-all.txt:(comp_len <= 1) and (syl_len0 <= 2) and (syl_len1 <= 3) and (sonority1 >= 11) and (comp_struct = V) and (syl_weight1 = schwa) => stress_class=paenultima (102.0/20.0)
101.0,5.0,0.950495,3syl,models-numeric.txt,3syl/models-numeric.txt:(comp_len <= 1) and (cv_ratio0 >= 2) and (sonority0 <= 11) and (syl_len0 <= 3) and (sonority0 >= 10) and (koda_len1 >= 1) and (nucleus_len2 <= 1) and (sonority2 >= 12) and (sonority0 >= 11) => stress_class=paenultima (101.0/5.0)
101.0,34.0,0.663366,2syl,models-numeric.txt,2syl/models-numeric.txt:(comp_len <= 0) and (cv_ratio1 >= 3) and (syl_len0 <= 3) => stress_class=ultima (101.0/34.0)
100.0,38.0,0.62,2syl,models-sparse.txt,2syl/models-sparse.txt:(syl_weight1 = light) and (pos = ADV) and (comp_len >= 2) => stress_class=ultima (100.0/38.0)
100.0,13.0,0.87,4syl,models-numeric.txt,4syl/models-numeric.txt:(nucleus_len1 >= 2) and (comp_len >= 2) and (syl_len0 <= 3) and (syl_len1 >= 3) and (syl_len1 <= 3) and (koda_len1 >= 1) => stress_class=antepaenultima (100.0/13.0)
97.0,5.0,0.948454,4syl,models-numeric.txt,4syl/models-numeric.txt:(sonority_ratio0 <= 3) and (syl_len0 <= 3) and (nucleus_len2 <= 1) and (comp_len <= 1) and (koda_len1 >= 1) and (sonority0 >= 11) and (nucleus_len0 <= 1) => stress_class=antepaenultima (97.0/5.0)
96.0,4.0,0.958333,3syl,models-numeric.txt,3syl/models-numeric.txt:(comp_len <= 0) and (nucleus_len2 >= 2) and (koda_len2 >= 1) and (sonority1 <= 10) => stress_class=ultima (96.0/4.0)
96.0,30.0,0.6875,4syl,models-numeric.txt,4syl/models-numeric.txt:(comp_len <= 1) and (cv_ratio1 <= 0) and (syl_len3 <= 3) and (sonority3 <= 12) => stress_class=paenultima (96.0/30.0)
96.0,14.0,0.854167,5syl,models-all.txt,5syl/models-all.txt:(syl_weight1 = light) and (comp_len <= 1) and (suffix_phoncat5 = KCCKC) => stress_class=paenultima (96.0/14.0)
